Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	CDD	cd05834	HDGF_related	8	92	1.59945E-43	T	25-11-2020	IPR035496	HDGF-related, PWWP domain	
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	MobiDBLite	mobidb-lite	consensus disorder prediction	94	233	-	T	25-11-2020
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	PANTHER	PTHR12550:SF41	HEPATOMA-DERIVED GROWTH FACTOR	1	226	8.6E-88	T	25-11-2020
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	Pfam	PF00855	PWWP domain	10	91	5.0E-15	T	25-11-2020	IPR000313	PWWP domain	
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	MobiDBLite	mobidb-lite	consensus disorder prediction	130	182	-	T	25-11-2020
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	ProSiteProfiles	PS50812	PWWP domain profile.	12	69	12.709	T	25-11-2020	IPR000313	PWWP domain	
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	SMART	SM00293	PWWP_4	10	67	9.7E-23	T	25-11-2020	IPR000313	PWWP domain	
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	MobiDBLite	mobidb-lite	consensus disorder prediction	205	233	-	T	25-11-2020
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	PANTHER	PTHR12550	HEPATOMA-DERIVED GROWTH FACTOR-RELATED	1	226	8.6E-88	T	25-11-2020
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	SUPERFAMILY	SSF63748	Tudor/PWWP/MBT	5	96	6.02E-31	T	25-11-2020
Acipenser_ruthenus_NW_023263024.1_prot_XP_033850444.2_64459	222cc1e075eabf64aedcbd2a932a332d	233	Gene3D	G3DSA:2.30.30.140	-	2	96	5.9E-33	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	Pfam	PF00855	PWWP domain	5	86	7.2E-14	T	25-11-2020	IPR000313	PWWP domain	
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	SUPERFAMILY	SSF63748	Tudor/PWWP/MBT	3	92	3.07E-29	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	ProSiteProfiles	PS50812	PWWP domain profile.	7	64	12.931	T	25-11-2020	IPR000313	PWWP domain	
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	PANTHER	PTHR12550	HEPATOMA-DERIVED GROWTH FACTOR-RELATED	1	529	5.6E-162	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	MobiDBLite	mobidb-lite	consensus disorder prediction	174	201	-	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	MobiDBLite	mobidb-lite	consensus disorder prediction	471	492	-	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	MobiDBLite	mobidb-lite	consensus disorder prediction	106	374	-	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	MobiDBLite	mobidb-lite	consensus disorder prediction	244	303	-	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	MobiDBLite	mobidb-lite	consensus disorder prediction	304	321	-	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	SMART	SM00293	PWWP_4	5	62	1.2E-16	T	25-11-2020	IPR000313	PWWP domain	
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	MobiDBLite	mobidb-lite	consensus disorder prediction	534	555	-	T	25-11-2020
Acipenser_ruthenus_NC_048324.1_prot_XP_034784695.1_4885	e0455533ffd04dde595e444ab02a42da	555	Gene3D	G3DSA:1.20.930.10	Conserved domain common to transcription factors TFIIS	373	466	3.5E-39	T	25-11-2020	IPR035441	TFIIS/LEDGF domain superfamily	
